,name,section
A002300,한국제지,1
A002310,아세아제지,1
A002320,한진,1
A002350,넥센타이어,1
A002355,넥센타이어1우B,1
A002360,SH에너지화학,1
A002380,KCC,1
A002390,한독,1
A002410,범양건영,1
A002420,세기상사,1
A002450,삼익악기,1
A002460,화성산업,1
A002600,조흥,1
A002620,제일파마홀딩스,1
A002630,오리엔트바이오,1
A002690,동일제강,1
A002700,신일산업,1
A002710,TCC동양,1
A002720,국제약품,1
A002760,보락,1
A002780,진흥기업,1
A002785,진흥기업우B,1
A002787,진흥기업2우B,1
A002790,아모레G,1
A002795,아모레G우,1
A002810,삼영무역,1
A002820,선창산업,1
A002840,미원상사,1
A002870,신풍제지,1
A002880,대유에이텍,1
A002900,동양물산,1
A002920,유성기업,1
A002960,한국쉘석유,1
A002990,금호산업,1
A002995,금호산업우,1
A003000,부광약품,1
A003010,혜인,1
A003030,세아제강지주,1
A003060,에이프로젠제약,1
A003070,코오롱글로벌,1
A003075,코오롱글로벌우,1
A003080,성보화학,1
A003090,대웅,1
A003120,일성신약,1
A003160,디아이,1
A003200,일신방직,1
A003220,대원제약,1
A003230,삼양식품,1
A003240,태광산업,1
A003280,흥아해운,1
A003300,한일홀딩스,1
A003350,한국화장품제조,1
A003410,쌍용양회,1
A003415,쌍용양회우,1
A003460,유화증권,1
A003465,유화증권우,1
A003470,유안타증권,1
A003475,유안타증권우,1
A003480,한진중공업홀딩스,1
A003490,대한항공,1
A003495,대한항공우,1
A003520,영진약품,1
A003530,한화투자증권,1
A003535,한화투자증권우,1
A003540,대신증권,1
A003545,대신증권우,1
A003547,대신증권2우B,1
A003550,LG,1
A003555,LG우,1
A003560,IHQ,1
A003570,S&T중공업,1
A003580,넥스트사이언스,1
A003610,방림,1
A003620,쌍용차,1
A003650,미창석유,1
A003680,한성기업,1
A003690,코리안리,1
A003720,삼영화학,1
A003780,진양산업,1
A003830,대한화섬,1
A003850,보령제약,1
A003920,남양유업,1
A003925,남양유업우,1
A003960,사조대림,1
A004000,롯데정밀화학,1
A004020,현대제철,1
A004060,SG세계물산,1
A004080,신흥,1
A004090,한국석유,1
A004100,태양금속,1
A004105,태양금속우,1
A004140,동방,1
A004150,한솔홀딩스,1
A004170,신세계,1
A004200,고려개발,1
A004250,NPC,1
A004255,NPC우,1
A004270,남성,1
A004310,현대약품,1
A004360,세방,1
A004365,세방우,1
A004370,농심,1
A004380,삼익THK,1
A004410,서울식품,1
A004415,서울식품우,1
A004430,송원산업,1
A004440,대림씨엔에스,1
