,name,section
A037230,한국팩키지,1
A037330,인지디스플레,1
A037350,성도이엔지,1
A037370,EG,1
A037400,우리조명,1
A037440,희림,1
A037460,삼지전자,1
A037760,쎄니트,1
A037950,엘컴텍,1
A038010,제일테크노스,1
A038060,루멘스,1
A038070,서린바이오,1
A038110,에코플라스틱,1
A038160,팍스넷,1
A038290,마크로젠,1
A038340,UCI,1
A038390,레드캡투어,1
A038460,바이오스마트,1
A038500,삼표시멘트,1
A038530,골드퍼시픽,1
A038540,상상인,1
A038620,위즈코프,1
A038680,에스넷,1
A038870,에코바이오,1
A038880,아이에이,1
A038950,파인디지털,1
A039010,현대통신,1
A039020,이건홀딩스,1
A039030,이오테크닉스,1
A039200,오스코텍,1
A039230,에이아이비트,1
A039240,경남스틸,1
A039290,인포뱅크,1
A039310,세중,1
A039340,한국경제TV,1
A039420,케이엘넷,1
A039440,에스티아이,1
A039560,다산네트웍스,1
A039610,화성밸브,1
A039670,한류타임즈,1
A039740,한국정보공학,1
A039830,오로라,1
A039840,디오,1
A039860,나노엔텍,1
A039980,리노스,1
A040160,누리텔레콤,1
A040300,YTN,1
A040350,큐로컴,1
A040420,정상제이엘에스,1
A040610,SG&G,1
A040910,아이씨디,1
A041020,인프라웨어,1
A041140,넥슨지티,1
A041190,우리기술투자,1
A041440,에버다임,1
A041460,한국전자인증,1
A041510,에스엠,1
A041520,이라이콤,1
A041590,에너전트,1
A041830,인바디,1
A041910,에스텍파마,1
A041920,메디아나,1
A041930,동아화성,1
A041960,코미팜,1
A042000,카페24,1
A042040,케이피엠테크,1
A042110,에스씨디,1
A042370,비츠로테크,1
A042420,네오위즈홀딩스,1
A042500,링네트,1
A042510,라온시큐어,1
A042520,한스바이오메드,1
A042600,새로닉스,1
A042940,상지카일룸,1
A043090,팜스웰바이오,1
A043100,솔고바이오,1
A043150,바텍,1
A043200,파루,1
A043220,에이치엘비파워,1
A043260,성호전자,1
A043290,케이맥,1
A043340,에쎈테크,1
A043360,디지아이,1
A043370,평화정공,1
A043590,크로바하이텍,1
A043610,지니뮤직,1
A043650,국순당,1
A043710,서울리거,1
A043910,자연과환경,1
A044060,조광ILI,1
A044180,KD건설,1
A044340,위닉스,1
A044480,바이오제네틱스,1
A044490,태웅,1
A044780,에이치케이,1
A044960,이글벳,1
A045060,오공,1
A045100,한양이엔지,1
A045300,성우테크론,1
A045340,토탈소프트,1
A045390,대아티아이,1
A045510,정원엔시스,1
A045520,크린앤사이언스,1
A045660,에이텍,1
A045890,GV,1
A045970,코아시아,1
A046070,코다코,1
A046110,한일네트웍스,1
A046120,오르비텍,1
A046140,SBS콘텐츠허브,1
A046210,파나진,1
A046310,백금T&A,1
A046390,삼화네트웍스,1
A046440,KG모빌리언스,1
A046890,서울반도체,1
A046940,우원개발,1
A046970,우리로,1
A047080,한빛소프트,1
A047310,파워로직스,1
A047560,이스트소프트,1
A047770,코데즈컴바인,1
A047820,초록뱀,1
A047920,씨트리,1
A048260,오스템임플란트,1
A048410,현대바이오,1
A048430,유라테크,1
A048470,대동스틸,1
A048530,인트론바이오,1
A048550,SM C&C,1
A048770,TPC,1
A048830,엔피케이,1
A048870,시너지이노베이션,1
A048910,대원미디어,1
A049070,인탑스,1
A049080,기가레인,1
A049120,파인디앤씨,1
A049180,셀루메드,1
A049430,코메론,1
A049470,SGA,1
A049480,오픈베이스,1
A049520,유아이엘,1
A049550,잉크테크,1
A049630,재영솔루텍,1
A049720,고려신용정보,1
A049830,승일,1
A049950,미래컴퍼니,1
A049960,쎌바이오텍,1
A050090,휘닉스소재,1
A050110,캠시스,1
A050120,라이브플렉스,1
