0,011070
1,010060
2,001740
3,010130
4,002240
5,003920
6,000640
7,001520
8,023530
9,071840
10,006400
11,207940
12,029780
13,000070
14,055550
15,192820
16,120110
17,003240
18,036460
19,060980
20,128940
21,105630
22,000720
23,012330
24,057050
25,008770
26,298040
27,027410
28,138930
29,114090
30,006360
31,105560
32,034220
33,064960
34,034730
35,011790
36,251270
37,000210
38,047040
39,042670
40,004490
41,036570
42,111770
43,003520
44,000670
45,000100
46,185750
47,192400
48,000080
49,071050
50,047810
51,003300
52,051600
53,001450
54,001040
55,012630
56,294870
57,001120
58,010950
59,034120
60,017670
61,002350
62,005250
63,069620
64,006650
65,026960
66,005180
67,018260
68,010140
69,016360
70,020000
71,012450
72,005440
73,267250
74,000990
75,096760
76,093050
77,108670
78,051910
79,079550
80,006260
81,035420
82,005940
83,000660
84,035250
85,024110
86,019680
87,001230
88,004000
89,004990
90,028260
91,005930
92,068270
93,090430
94,010780
95,012750
96,014830
97,009830
98,004020
99,282330
100,097950
101,078930
102,003550
103,006120
104,096770
105,005610
106,006280
107,008060
108,042660
109,049770
110,241560
111,034020
112,003000
113,032830
114,009150
115,271560
116,316140
117,020150
118,035720
119,028670
120,009240
121,014680
122,018880
123,064350
124,079160
125,005830
126,007070
127,032640
128,066570
129,010120
130,073240
131,025860
132,204320
133,033920
134,028050
135,007310
136,030000
137,036580
138,161890
139,000240
140,009420
141,079430
142,093370
143,069260
144,006840
145,001060
146,051900
147,004370
148,003490
149,014820
150,000150
151,003850
152,145990
153,001430
154,004170
155,005850
156,001800
157,007570
158,002960
159,161390
160,008930
161,052690
162,088350
163,086280
164,069960
165,000120
166,285130
167,001680
168,170900
169,115390
170,011170
171,002270
172,008560
173,006800
174,021240
175,214320
176,139480
177,047050
178,103140
179,086790
180,000880
181,010620
182,011210
183,009540
184,004800
